Contig10017	8557	8805
Contig10030	14505	14530
Contig10030	24072	25185
Contig10030	28478	28572
Contig10030	33221	33258
Contig10030	58162	58172
Contig10030	77436	77458
Contig10030	81562	81564
Contig10030	91150	91166
Contig10030	101264	101289
Contig10030	108831	108889
Contig10030	111320	111345
Contig10030	125299	125324
Contig10030	126756	126771
Contig10030	127947	128022
Contig10040	320	407
Contig10140	3131	3165
Contig10140	7411	7429
Contig10140	9432	9457
Contig10140	12812	12837
Contig10140	14110	14158
Contig10140	26436	26461
Contig10140	43195	43271
Contig10140	75911	75936
Contig10140	78703	79124
Contig10140	100841	100876
Contig10140	103475	103500
Contig10140	108674	108699
Contig10140	114499	114524
Contig10140	116593	116617
Contig10140	123928	123953
Contig10140	133768	133793
Contig10140	136031	136110
Contig10140	146623	146650
Contig10140	148322	148347
Contig10140	150230	150502
Contig10140	158890	158915
Contig10140	161519	161577
Contig10140	167438	167485
Contig10140	192292	192317
Contig10140	199701	199726
Contig10140	207291	207312
Contig10140	210424	210496
Contig10140	243973	244036
Contig10140	258740	258912
Contig10140	260322	260398
Contig10140	261507	261558
Contig10140	266843	266878
Contig10140	268107	268132
Contig10140	284628	284653
Contig10140	299895	299940
Contig10140	305879	306026
Contig10140	328347	328415
Contig10140	330570	330622
Contig10140	336591	337046
Contig10159	2674	2715
Contig10159	27818	27843
Contig10159	32204	32255
Contig10159	63307	63332
Contig10159	88667	88728
Contig10159	89691	89697
Contig10159	100686	100895
Contig10159	110219	110251
Contig10160	31797	34481
Contig10160	40686	40729
Contig10160	45864	45890
Contig10160	47480	47548
Contig10160	48503	48593
Contig10161	4316	4378
Contig10224	793	818
Contig10224	32991	32997
Contig10224	41096	41220
Contig10224	48276	48301
Contig10372	7989	8014
Contig10372	10821	10883
Contig10372	13951	13953
Contig10372	18461	18815
Contig10372	70167	72600
Contig10372	88266	88291
Contig10372	90915	90923
Contig10372	119163	119188
Contig10372	149361	149404
Contig10372	154828	155057
Contig10372	157759	157798
Contig10372	168402	168486
Contig10372	181606	181662
Contig10372	189226	189251
Contig104	38462	38466
Contig104	79933	80685
Contig104	99660	99685
Contig104	112163	112188
Contig105	1423	1424
Contig105	9165	9190
Contig1054	321	375
Contig10609	15390	15415
Contig10609	78612	78676
Contig10609	81011	81021
Contig10609	98843	98845
Contig10669	5730	6760
Contig107092	808	815
Contig1072	2232	2278
Contig10744	5866	5891
Contig10744	27478	27536
Contig10744	29617	29626
Contig10744	32169	32218
Contig10744	32683	32794
Contig10744	34883	34908
Contig10744	44953	45193
Contig10744	47680	47901
Contig10744	51432	51457
Contig10744	60315	60352
Contig10744	100925	100950
Contig10744	109033	109045
Contig10744	136585	136756
Contig10744	140940	140942
Contig10744	147604	147656
Contig10744	157337	157353
Contig10744	159906	159931
Contig10744	173121	173146
Contig10744	180464	180489
Contig10744	212777	212802
Contig10744	214296	214315
Contig10764	30205	30235
Contig10764	64454	64510
Contig10764	71841	71896
Contig10764	86783	87414
Contig10764	103203	103228
Contig10764	116772	116796
Contig10764	118321	118344
Contig10764	125363	125387
Contig10764	150361	150405
Contig10764	154128	154153
Contig10764	194197	194233
Contig10764	198815	198972
Contig10764	201423	201488
Contig10764	227529	227531
Contig10764	228354	228444
Contig10764	256255	256376
Contig10764	262773	263450
Contig10764	278059	278080
Contig10764	284506	284510
Contig10764	294309	294353
Contig10764	317492	317528
Contig10764	318996	319043
Contig10764	321051	321097
Contig10764	324440	324810
Contig10764	339937	339962
Contig10764	341796	341833
Contig10764	363778	363803
Contig10764	367540	367566
Contig10764	381667	381684
Contig10764	384335	384528
Contig10764	385229	385263
Contig10764	386209	386265
Contig10764	399079	399182
Contig10765	18452	18477
Contig10780	6919	6944
Contig10780	15099	15124
Contig10780	24225	24380
Contig10780	61091	61224
Contig10780	70860	70902
Contig10780	80226	80245
Contig10780	88275	88386
Contig10780	91762	91787
Contig10780	101345	101356
Contig10780	129766	129791
Contig10780	138921	138946
Contig10780	183544	183569
Contig10780	202998	203023
Contig10780	224486	224511
Contig10780	258658	258683
Contig10780	266828	266860
Contig10780	307143	307201
Contig10780	315957	315962
Contig10780	343163	345161
Contig10780	378728	378740
Contig10780	408845	408870
Contig10780	409966	410048
Contig10782	16010	16035
Contig10782	25172	25236
Contig10782	33945	34390
Contig10782	85315	85334
Contig10782	120533	120558
Contig10782	126272	126315
Contig10782	143960	143987
Contig10782	156890	156957
Contig10782	165689	165714
Contig10782	171806	171898
Contig10782	178888	179362
Contig10782	190035	190067
Contig108	5530	5555
Contig108	14036	14047
Contig108	27494	27519
Contig108	37292	37296
Contig10855	2216	2241
Contig10855	16734	16786
Contig10855	29821	29880
Contig10855	68790	68837
Contig10855	74935	75418
Contig10855	79751	79776
Contig10855	92175	92200
Contig10855	107235	109120
Contig10855	125901	125932
Contig10855	127788	127809
Contig10855	131506	131761
Contig10855	138417	138428
Contig10855	138753	138788
Contig10855	164506	164513
Contig10855	169113	169118
Contig10855	171344	171374
Contig10855	175382	176397
Contig10855	182180	182267
Contig10855	184014	184119
Contig10855	202673	202697
Contig10855	211636	211703
Contig10855	228153	228197
Contig10855	238266	238286
Contig10855	270618	270644
Contig10855	276214	276428
Contig10855	281255	281386
Contig10855	285526	285563
Contig10855	311011	311051
Contig10855	327244	327318
Contig10855	355835	355861
Contig10855	363800	363830
Contig10855	371478	371490
Contig10855	376458	376481
Contig10855	379142	379159
Contig10855	385005	385030
Contig1087	602	706
Contig10882	2378	2986
Contig10882	24335	25067
Contig10882	35344	35655
Contig10882	36486	36511
Contig10882	63383	63563
Contig10882	70857	70876
Contig10882	77757	78556
Contig10882	80806	80831
Contig10882	107112	107277
Contig10882	108124	108167
Contig10882	118578	121032
Contig10882	127333	127358
Contig10882	135811	135836
Contig10882	141806	141831
Contig10882	142787	142812
Contig10882	146299	148448
Contig10882	152470	153446
Contig10882	154379	154401
Contig10882	162490	162515
Contig10882	163067	163243
Contig10882	169420	171888
Contig10882	175870	175984
Contig10882	177961	181585
Contig10882	182304	182361
Contig10882	183113	183138
Contig10882	185363	185371
Contig10882	191164	191329
Contig10882	194865	195015
Contig10882	210045	210174
Contig10882	213452	213979
Contig10882	214602	214656
Contig10882	218142	218269
Contig10882	220718	220780
Contig10882	229511	229517
Contig10882	233719	234149
Contig10882	236538	236610
Contig10882	240148	242087
Contig10882	243569	243579
Contig10882	245275	248520
Contig10882	251948	252795
Contig10882	260220	260245
Contig10882	270419	270575
Contig10882	271353	272342
Contig10882	281671	283409
Contig10882	292992	293017
Contig10882	296107	296178
Contig10882	299250	300614
Contig10882	303250	303275
Contig10882	306564	306589
Contig10882	307474	309200
Contig10882	310747	310775
Contig10882	314595	314726
Contig10882	315888	316238
Contig10882	321384	321409
Contig10882	322955	322980
Contig10882	325293	325318
Contig10882	328199	328224
Contig10882	345312	345337
Contig10882	346629	346703
Contig10882	348179	348209
Contig10882	352941	353051
Contig10882	353958	355535
Contig10882	359839	361237
Contig10882	367640	367659
Contig10882	370935	370970
Contig10882	374186	374211
Contig10882	378163	378379
Contig10882	380399	380601
Contig10882	381454	385087
Contig10882	388993	389008
Contig10882	389736	391137
Contig10882	397219	400185
Contig10882	401558	401600
Contig10882	403540	405715
Contig10882	425555	427209
Contig10882	431920	431936
Contig10882	433349	433512
Contig10882	433924	433974
Contig10883	489	515
Contig10883	15946	15983
Contig10883	18676	18827
Contig10883	20185	20241
Contig10883	24073	24309
Contig10883	27750	27793
Contig10883	37103	37381
Contig10883	44753	45449
Contig10883	55926	55951
Contig10883	58647	59513
Contig10883	66086	66566
Contig10883	68097	68173
Contig10883	71740	71765
